source,target,relationship,followers,platform
lindasalam10,indibiz,comment,1624,instagram
azgarabayu,indibiz,comment,1638,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
inaya_sida29,indibiz,comment,218,instagram
dwi_miatun,indibiz,comment,8460,instagram
cakra61_,indibiz,comment,2142,instagram
ikapriita,indibiz,comment,8991,instagram
ikapriita,indibiz,comment,8991,instagram
ikapriita,indibiz,comment,8991,instagram
linaling75,indibiz,comment,1614,instagram
jelita_leila02,indibiz,comment,85,instagram
yuliana.sr45,indibiz,comment,1113,instagram
yuliana.sr45,indibiz,comment,1113,instagram
jelita_leila02,indibiz,comment,85,instagram
jelita_leila02,indibiz,comment,85,instagram
i__srifajar__,indibiz,comment,3416,instagram
rf.prfrstaaa_,indibiz,comment,2347,instagram
mbuarsyaka11,indibiz,comment,50,instagram
arifwargadumay,indibiz,comment,17126,instagram
arifwargadumay,indibiz,comment,17126,instagram
ik_nisa_,indibiz,comment,1543,instagram
ik_nisa_,indibiz,comment,1543,instagram
ik_nisa_,indibiz,comment,1543,instagram
ik_nisa_,indibiz,comment,1543,instagram
ik_nisa_,indibiz,comment,1543,instagram
lia.fajriii,indibiz,comment,385,instagram
lia.fajriii,indibiz,comment,385,instagram
lia.fajriii,indibiz,comment,385,instagram
arifwargadumay,indibiz,comment,17126,instagram
imah.azzahrah,indibiz,comment,1036,instagram
bas_wynr,indibiz,comment,4,instagram
and.ren28,indibiz,comment,497,instagram
achmad_marzuki99,indibiz,comment,1521,instagram
4goes_prasetyo.94,indibiz,comment,154,instagram
4goes_prasetyo.94,indibiz,comment,154,instagram
4goes_prasetyo.94,indibiz,comment,154,instagram
ilham.ali12,indibiz,comment,1017,instagram
bas_wynr,indibiz,comment,4,instagram
bang_arip05,indibiz,comment,1761,instagram
bang_arip05,indibiz,comment,1761,instagram
bang_arip05,indibiz,comment,1761,instagram
bang_arip05,indibiz,comment,1761,instagram
bang_arip05,indibiz,comment,1761,instagram
bang_arip05,indibiz,comment,1761,instagram
sahrul_mulia23,indibiz,comment,191,instagram
nandaamilia_,indibiz,comment,3021,instagram
nandaamilia_,indibiz,comment,3021,instagram
nandaamilia_,indibiz,comment,3021,instagram
riyadiarham,indibiz,comment,4698,instagram
riyadiarham,indibiz,comment,4698,instagram
riyadiarham,indibiz,comment,4698,instagram
ratna_sulistya,indibiz,comment,1177,instagram
ratna_sulistya,indibiz,comment,1177,instagram
elvan_praditia,indibiz,comment,609,instagram
fakih5815,indibiz,comment,175,instagram
aisyahmaryam02,indibiz,comment,2872,instagram
aisyahmaryam02,indibiz,comment,2872,instagram
arifwargadumay,indibiz,comment,17126,instagram
febyfee_,indibiz,comment,2414,instagram
aalrahman08_,indibiz,comment,9,instagram
la.ngra_,indibiz,comment,1106,instagram
aal_foxa,indibiz,comment,1235,instagram
aal_foxa,indibiz,comment,1235,instagram
aal_foxa,indibiz,comment,1235,instagram
shariavebiriana,indibiz,comment,4353,instagram
dani3l_dr,indibiz,comment,2999,instagram
alialexari,indibiz,comment,3121,instagram
chinthiaindah,indibiz,comment,870,instagram
_ernith95,indibiz,comment,1553,instagram
_ernith95,indibiz,comment,1553,instagram
_ernith95,indibiz,comment,1553,instagram
_ernith95,indibiz,comment,1553,instagram
