source,target,relationship,followers,platform,layanan,sentiment
165nlm,indosatim3,mention,0,twitter,Telkomsel,neutral
165nlm,myxl,mention,0,twitter,Telkomsel,neutral
165nlm,pertamina,mention,0,twitter,Telkomsel,neutral
165nlm,pln_123,mention,0,twitter,Telkomsel,neutral
165nlm,ridhaintifadha,retweet,0,twitter,Telkomsel,neutral
165nlm,selebtwitmobil,retweet,0,twitter,Telkomsel,neutral
165nlm,smartfrenworld,mention,0,twitter,Telkomsel,neutral
165nlm,starlink,mention,0,twitter,Telkomsel,neutral
165nlm,telkomindonesia,mention,0,twitter,Telkomsel,neutral
165nlm,telkomsel,mention,0,twitter,Telkomsel,neutral
177maple,indihome,mention,0,twitter,Telkomsel,negative
177maple,indihomecare,mention,0,twitter,Telkomsel,negative
177maple,telkomsel,mention,0,twitter,Telkomsel,negative
17bloomy,baummustholahul,mention,0,twitter,Telkomsel,negative
17starsss265,telkomsel,mention,0,twitter,Telkomsel,neutral
17titan,ghaneshrm,mention,0,twitter,Telkomsel,neutral
17titan,indihome,mention,0,twitter,Telkomsel,neutral
17titan,telkomindonesia,mention,0,twitter,Telkomsel,neutral
17titan,telkomsel,mention,0,twitter,Telkomsel,neutral
1864line,luksskywalkers,mention,0,twitter,Telkomsel,neutral
1864line,qrivasi,mention,0,twitter,Telkomsel,neutral
1864line,telkomsel,mention,0,twitter,Telkomsel,neutral
18___0,telkomsel,mention,0,twitter,Telkomsel,negative
1997kilogram,telkomsel,mention,0,twitter,Telkomsel,neutral
199_noel,telkomsel,mention,0,twitter,Telkomsel,neutral
19gracepatricia,telkomsel,mention,0,twitter,Telkomsel,negative
19ikhsan_,telkomsel,mention,0,twitter,Telkomsel,neutral
1_11v1f4,indihomecare,mention,0,twitter,Telkomsel,negative
1_11v1f4,telkomsel,mention,0,twitter,Telkomsel,negative
1ammedussa,basebdg,mention,0,twitter,Telkomsel,negative
1ammedussa,brodyrich_,mention,0,twitter,Telkomsel,neutral
1ammedussa,tanyarlfes,mention,0,twitter,Telkomsel,neutral
1ammedussa,telkomsel,mention,0,twitter,Telkomsel,neutral
1cokjarannn,telkomsel,mention,0,twitter,Telkomsel,neutral
1foxcean,telkomsel,mention,0,twitter,Telkomsel,negative
1limaratusan,telkomsel,mention,0,twitter,Telkomsel,negative
1lovewonie,telkomsel,mention,0,twitter,Telkomsel,negative
1myf1,telkomsel,mention,0,twitter,Telkomsel,negative
1myf1,upalupilll,mention,0,twitter,Telkomsel,negative
1penggunaiphone,telkomsel,mention,0,twitter,Telkomsel,negative
1qbalsaputra,elonmusk,mention,0,twitter,Telkomsel,neutral
1qbalsaputra,pertamina,mention,0,twitter,Telkomsel,neutral
1qbalsaputra,pln_123,mention,0,twitter,Telkomsel,neutral
1qbalsaputra,selebtwitmobil,retweet,0,twitter,Telkomsel,neutral
1qbalsaputra,starlink,mention,0,twitter,Telkomsel,neutral
1qbalsaputra,telkomindonesia,mention,0,twitter,Telkomsel,neutral
1qbalsaputra,telkomsel,mention,0,twitter,Telkomsel,neutral
1rumiiw,telkomsel,mention,0,twitter,Telkomsel,negative
1stepaheadofu_v,baummustholahul,mention,0,twitter,Telkomsel,negative
1stepaheadofu_v,fushiogur,mention,0,twitter,Telkomsel,negative
1stepaheadofu_v,telkomsel,mention,0,twitter,Telkomsel,negative
1teamadorfck,elonmusk,mention,0,twitter,Telkomsel,neutral
1teamadorfck,pertamina,mention,0,twitter,Telkomsel,neutral
1teamadorfck,pln_123,mention,0,twitter,Telkomsel,neutral
1teamadorfck,selebtwitmobil,retweet,0,twitter,Telkomsel,neutral
1teamadorfck,starlink,mention,0,twitter,Telkomsel,neutral
1teamadorfck,telkomindonesia,mention,0,twitter,Telkomsel,neutral
1teamadorfck,telkomsel,mention,0,twitter,Telkomsel,neutral
2000lijen,telkomsel,mention,0,twitter,Telkomsel,negative
2007pride,zecoffees,mention,0,twitter,Telkomsel,neutral
2020_stmj,ary_praske2,mention,0,twitter,Telkomsel,negative
2020_stmj,gundala2221,retweet,0,twitter,Telkomsel,negative
2020_stmj,karedokleunca__,mention,0,twitter,Telkomsel,negative
2020_stmj,rickykardjono,mention,0,twitter,Telkomsel,negative
2020_stmj,telkomindonesia,mention,0,twitter,Telkomsel,negative
2020_stmj,telkomsel,mention,0,twitter,Telkomsel,negative
2022_akuwisudaa,telkomsel,mention,0,twitter,Telkomsel,negative
2022bahagianya,elonmusk,mention,0,twitter,Telkomsel,neutral
2022bahagianya,pertamina,mention,0,twitter,Telkomsel,neutral
2022bahagianya,pln_123,mention,0,twitter,Telkomsel,neutral
2022bahagianya,selebtwitmobil,retweet,0,twitter,Telkomsel,neutral
2022bahagianya,starlink,mention,0,twitter,Telkomsel,neutral
2022bahagianya,telkomindonesia,mention,0,twitter,Telkomsel,neutral
2022bahagianya,telkomsel,mention,0,twitter,Telkomsel,neutral
2024_anies62406,elonmusk,mention,0,twitter,Telkomsel,neutral
2024_anies62406,pertamina,mention,0,twitter,Telkomsel,neutral
2024_anies62406,pln_123,mention,0,twitter,Telkomsel,neutral
2024_anies62406,selebtwitmobil,retweet,0,twitter,Telkomsel,neutral
2024_anies62406,starlink,mention,0,twitter,Telkomsel,neutral
2024_anies62406,telkomindonesia,mention,0,twitter,Telkomsel,neutral
2024_anies62406,telkomsel,mention,0,twitter,Telkomsel,neutral
2027cumlaude,indihome,mention,0,twitter,Telkomsel,neutral
2027cumlaude,telkomsel,mention,0,twitter,Telkomsel,neutral
208alhuda,elonmusk,mention,0,twitter,Telkomsel,neutral
208alhuda,pertamina,mention,0,twitter,Telkomsel,neutral
208alhuda,pln_123,mention,0,twitter,Telkomsel,neutral
208alhuda,selebtwitmobil,retweet,0,twitter,Telkomsel,neutral
208alhuda,starlink,mention,0,twitter,Telkomsel,neutral
208alhuda,telkomindonesia,mention,0,twitter,Telkomsel,neutral
208alhuda,telkomsel,mention,0,twitter,Telkomsel,neutral
20alvaa,indihome,mention,0,twitter,Telkomsel,neutral
20alvaa,telkomsel,mention,0,twitter,Telkomsel,neutral
2106archives,telkomsel,mention,0,twitter,Telkomsel,neutral
2110archivee,telkomsel,mention,0,twitter,Telkomsel,negative
21exv,mrongdedy,mention,0,twitter,Telkomsel,neutral
21exv,telkomsel,mention,0,twitter,Telkomsel,neutral
21lai21,byu_id,mention,0,twitter,Telkomsel,neutral
21lai21,indosatim3,mention,0,twitter,Telkomsel,neutral
21lai21,myxl,mention,0,twitter,Telkomsel,neutral
21lai21,ridhaintifadha,retweet,0,twitter,Telkomsel,neutral
21lai21,smartfrenworld,mention,0,twitter,Telkomsel,neutral
21lai21,telkomsel,mention,0,twitter,Telkomsel,neutral
21malpha,telkomsel,mention,0,twitter,Telkomsel,neutral
21nine8,telkomsel,mention,0,twitter,Telkomsel,negative
2214444jh,telkomsel,mention,0,twitter,Telkomsel,neutral
