rank,username,followers,degree_centrality,in_degree,out_degree,is_brand
199,itsmeyynnn__,0,0.00017561318269624775,0,6,False
200,anton_solo86,0,0.00017561318269624775,0,6,False
201,aannramadhan,0,0.00017561318269624775,0,6,False
202,rnjeunonia,0,0.00017561318269624775,0,6,False
203,bobb_napibadung,0,0.00017561318269624775,0,6,False
204,yellowieee,0,0.00017561318269624775,0,6,False
205,legiondefender2,0,0.00017561318269624775,0,6,False
206,jeffero_blackk,0,0.00017561318269624775,0,6,False
207,naturlichers,0,0.00017561318269624775,0,6,False
208,oxygenidhome,0,0.00017561318269624775,0,6,False
209,maulaa313,0,0.00017561318269624775,0,6,False
210,nviantoro,0,0.00017561318269624775,0,6,False
211,soihamm,0,0.00017561318269624775,0,6,False
212,systembmd,0,0.00017561318269624775,0,6,False
213,sbrwaras,0,0.00017561318269624775,0,6,False
214,dazzzling,0,0.00017561318269624775,0,6,False
215,badkareen,0,0.00017561318269624775,0,6,False
216,pohtaetoooh,0,0.00017561318269624775,0,6,False
217,geminci,0,0.00017561318269624775,0,6,False
218,lynethovise,0,0.00017561318269624775,0,6,False
219,aishwabaha2022,0,0.00017561318269624775,0,6,False
220,onlyyans24k,0,0.00017561318269624775,0,6,False
221,wanggyunoona,0,0.00017561318269624775,0,6,False
222,qetara_28,0,0.00017561318269624775,0,6,False
223,pian139334,0,0.00017561318269624775,0,6,False
224,abduljamiil,0,0.00017561318269624775,0,6,False
225,priohutomog,0,0.00017561318269624775,0,6,False
226,karinayio,0,0.00017561318269624775,0,6,False
227,murdhany88,0,0.00017561318269624775,0,6,False
228,febyanigusti,0,0.00017561318269624775,0,6,False
229,wandesar,0,0.00017561318269624775,0,6,False
230,rizuyaa,0,0.00017561318269624775,0,6,False
231,devy_putra,0,0.00017561318269624775,0,6,False
232,flaed,0,0.00017561318269624775,0,6,False
233,pengabdirakyat,0,0.00017561318269624775,0,6,False
234,gambit_xx__280,0,0.00017561318269624775,0,6,False
235,prayogiach68717,0,0.00017561318269624775,0,6,False
236,aryadips,0,0.00017561318269624775,0,6,False
237,akbartruck77688,0,0.00017561318269624775,0,6,False
238,faninr,0,0.00017561318269624775,0,6,False
239,blackgeminid,0,0.00017561318269624775,0,6,False
240,_banyu_biru21,0,0.00017561318269624775,0,6,False
241,fol1eadeux,0,0.00017561318269624775,0,6,False
242,svvibian,0,0.00017561318269624775,0,6,False
243,bachrainy98,0,0.00017561318269624775,0,6,False
244,eifuels,0,0.00017561318269624775,0,6,False
